21000000,U,U,X,X,U,U,X,X,U,U,U,U,X,X,U,U,U,U,34
21000001,X,U,X,X,U,X,U,X,X,X,X,X,X,X,X,X,X,X,92
21000002,X,X,X,X,X,X,X,U,X,X,X,X,U,X,U,X,X,X,89
21000003,X,U,X,U,U,U,U,X,X,U,U,X,X,X,U,X,X,U,54
21000004,X,U,X,U,X,X,X,X,X,U,X,U,X,U,X,U,X,X,54
21000005,U,X,U,U,X,X,U,X,U,U,X,U,U,U,X,U,U,X,36
21000006,U,X,X,X,X,U,X,U,X,U,U,X,X,U,U,U,U,U,48
21000007,X,U,U,X,U,U,U,X,U,X,X,U,X,X,U,X,U,X,54
21000008,U,X,X,X,X,X,X,X,X,X,X,X,U,X,X,X,X,X,92
21000009,X,X,X,X,X,X,U,U,X,U,X,X,X,X,X,X,X,X,69
21000010,U,X,X,U,U,X,U,X,X,U,U,X,U,U,X,U,X,U,42
21000011,X,U,U,U,X,U,X,X,U,X,X,U,U,U,X,U,X,U,45
21000012,X,U,X,U,U,U,U,U,U,U,U,U,U,U,U,X,U,X,29
21000013,X,X,U,X,U,X,X,X,X,U,X,X,X,U,X,X,X,X,88
21000014,U,U,X,X,X,X,X,X,X,U,X,U,U,X,U,U,X,X,50
21000015,X,X,X,X,X,U,U,X,U,U,X,X,X,U,U,U,X,X,51
21000016,U,U,X,X,U,X,X,X,X,U,X,X,U,U,U,U,X,U,46
21000017,U,X,X,X,U,U,U,X,U,U,U,X,U,U,U,U,U,X,32
21000018,U,X,X,U,X,X,X,X,X,U,X,X,X,X,U,U,U,X,81
21000019,X,X,U,X,U,U,X,U,X,U,U,U,U,X,X,X,X,U,45
21000020,X,X,X,X,U,X,X,X,U,X,X,U,X,X,X,U,X,X,68
21000021,U,X,U,U,X,U,X,U,U,U,U,U,U,U,X,X,X,X,31
21000022,X,U,U,U,U,U,X,U,X,X,X,U,U,X,U,U,U,U,27
21000023,X,X,U,X,X,X,X,X,U,X,X,X,X,X,X,X,X,X,89
21000024,U,X,X,X,X,X,X,U,U,X,X,X,X,X,U,X,U,X,73
21000025,X,U,X,X,U,U,X,X,X,X,X,X,U,U,X,U,X,X,71
21000026,X,U,U,X,U,X,X,X,U,U,U,U,U,X,X,X,X,X,54
21000027,X,U,X,U,X,U,X,U,X,X,X,X,X,X,X,X,X,X,67
21000028,X,X,X,X,U,X,X,X,X,X,X,X,X,U,U,U,U,X,63
21000029,X,U,X,X,X,X,X,X,U,X,U,X,U,X,X,U,X,X,69
21000030,X,U,X,X,X,U,U,U,U,U,U,X,X,X,U,U,U,X,59
21000031,X,U,U,X,X,X,X,X,U,U,X,U,U,U,U,U,X,X,35
21000032,X,U,X,X,X,U,U,X,X,X,X,X,U,X,X,X,X,U,71
21000033,X,U,X,X,X,U,U,X,U,U,U,U,X,X,U,U,U,X,51
21000034,U,X,U,U,U,X,X,U,U,U,U,U,U,U,X,U,U,X,26
21000035,X,U,U,X,X,U,X,X,X,X,U,U,U,X,X,X,X,X,55
21000036,U,X,X,X,U,X,X,X,X,U,U,U,U,U,U,U,U,X,48
21000037,X,X,U,U,U,U,X,X,U,U,X,X,X,U,X,X,X,X,55
21000038,U,U,X,U,X,U,U,X,X,U,X,U,U,X,X,U,X,X,37
21000039,U,U,U,U,U,X,U,U,U,U,X,U,X,X,U,U,U,U,29
21000040,X,X,X,X,X,X,U,X,X,X,X,X,X,U,X,X,X,X,84
21000041,U,U,U,X,U,U,X,U,X,X,U,U,X,U,U,X,U,U,46
21000042,X,X,X,X,X,X,X,X,U,U,X,X,X,X,X,U,X,U,63
