chapter,24
down,79
the,1611
pool,8
of,494
tears,6
a,619
and,767
long,31
tale,3
rabbit,31
sends,2
in,350
little,120
bill,3
advice,2
from,33
caterpillar,12
pig,2
pepper,7
mad,7
mock,57
story,4
lobster,6
quadrille,3
who,55
stole,3
evidence,5
alice,221
was,328
beginning,11
to,706
get,43
very,126
tired,7
sitting,10
by,56
her,207
sister,5
on,142
having,10
nothing,22
once,19
or,68
twice,1
she,518
had,176
peeped,3
into,67
book,3
but,116
it,362
no,66
pictures,4
conversations,1
what,89
is,63
use,16
thought,63
so,126
considering,3
own,9
mind,5
well,27
as,249
for,135
hot,4
day,11
made,29
feel,8
sleepy,3
whether,11
pleasure,2
making,8
would,71
be,138
worth,4
trouble,4
getting,21
up,81
picking,2
when,73
suddenly,10
white,28
with,170
pink,1
eyes,18
ran,13
close,12
there,63
remarkable,2
nor,2
did,50
think,36
much,40
out,97
way,37
hear,14
say,35
oh,6
i,249
shall,22
over,31
occurred,2
that,216
ought,13
have,73
wondered,1
at,204
time,47
all,154
seemed,27
quite,53
actually,1
watch,6
its,57
looked,45
then,59
hurried,11
started,2
flashed,1
across,5
never,38
before,19
seen,12
either,6
take,19
burning,1
field,1
after,40
fortunately,1
just,48
see,48
pop,1
large,32
under,16
another,21
moment,21
went,79
how,46
world,6
straight,2
like,75
tunnel,1
some,49
dipped,2
not,103
about,84
stopping,1
herself,40
found,28
falling,2
deep,5
fell,6
plenty,1
look,25
wonder,15
going,26
happen,5
tried,18
make,26
coming,5
too,21
dark,3
sides,4
noticed,7
they,117
were,82
filled,3
cupboards,2
here,19
saw,13
maps,1
hung,1
upon,26
took,23
jar,2
one,78
shelves,1
labelled,1
great,39
disappointment,1
drop,1
fear,4
killing,1
somebody,4
managed,3
put,31
past,1
such,40
fall,6
tumbling,2
brave,1
me,46
anything,14
even,18
if,72
off,40
top,8
likely,4
come,26
an,56
many,12
miles,3
fallen,4
this,101
said,420
must,39
somewhere,1
near,14
centre,1
let,13
four,6
thousand,2
you,257
learnt,2
several,4
things,19
sort,17
lessons,4
though,7
good,23
opportunity,8
showing,2
listen,4
still,13
practice,1
right,21
latitude,2
longitude,2
got,45
idea,14
nice,5
grand,2
words,14
presently,2
began,46
funny,3
seem,7
among,12
people,10
walk,4
their,50
heads,8
rather,25
glad,11
sound,3
ask,7
